"Order ID","Date Start",Customer,Source,Qty,Amount,Season,"Customer PO",Salesperson,"Credit Terms","Ship Via",Notes,"Credit Status",Date,"Qty Open","Amount Open","Amount Discount"
"89137","08/25/24","His Style","Post Deadline","67.00","3468.50","FALL 2024","HSJETTYFW24","In-House","Net 30","UPS® Ground","","Approved","01/19/24","0.00","0.00","0.00"
"89146","10/01/24","BRAVE NEW WORLD","Post Deadline","32.00","446.40","FALL 2024","#JTY96138MNS","In-House","Net 30","Pickup/Delivery","","Approved","01/19/24","0.00","0.00","0.00"
"89147","08/01/24","BRAVE NEW WORLD","Post Deadline","30.00","445.50","FALL 2024","#JTY43940MNS","In-House","Net 30","Pickup/Delivery","","Approved","01/19/24","0.00","0.00","0.00"
"89148","10/01/24","BRAVE NEW WORLD","Post Deadline","12.00","167.40","FALL 2024","#JTY43941MNS","In-House","Net 30","Pickup/Delivery","","Approved","01/19/24","0.00","0.00","0.00"
"89149","08/01/24","BRAVE NEW WORLD","Post Deadline","24.00","356.40","FALL 2024","#JTY58760MNS","In-House","Net 30","Pickup/Delivery","","Approved","01/19/24","0.00","0.00","0.00"
"89150","10/01/24","BRAVE NEW WORLD","Post Deadline","12.00","167.40","FALL 2024","#JTY58761MNS","In-House","Net 30","Pickup/Delivery","","Approved","01/19/24","0.00","0.00","0.00"
"89151","08/01/24","BRAVE NEW WORLD","Post Deadline","54.00","801.90","FALL 2024","#JTY96137MNS","In-House","Net 30","Pickup/Delivery","","Approved","01/19/24","0.00","0.00","0.00"
"89201","10/15/24","Benjamin's","Post Deadline","32.00","772.35","FALL 2024","JETTYFA24-WMNS","Curtis Wheeler","Net 60","UPS® Ground","","Approved","01/20/24","0.00","0.00","40.65"
"89417","08/01/24","The Sports Basement","Post Deadline","37.00","1683.45","FALL 2024","4500886157","Nathan Zelena","Net 60","UPS® Ground","","Approved","01/25/24","0.00","0.00","187.05"
"89420","08/01/24","The Sports Basement","Post Deadline","19.00","873.90","FALL 2024","4500886158","Nathan Zelena","Net 60","UPS® Ground","","Approved","01/25/24","0.00","0.00","97.10"
"89421","08/01/24","The Sports Basement","Post Deadline","16.00","725.85","FALL 2024","4500886159","Nathan Zelena","Net 60","UPS® Ground","","Approved","01/25/24","0.00","0.00","80.65"
"89422","08/01/24","The Sports Basement","Post Deadline","29.00","1314.90","FALL 2024","4500886160","Nathan Zelena","Net 60","UPS® Ground","","Approved","01/25/24","0.00","0.00","146.10"
"89423","08/01/24","The Sports Basement","Post Deadline","29.00","1314.90","FALL 2024","4500886161","Nathan Zelena","Net 60","UPS® Ground","","Approved","01/25/24","0.00","0.00","146.10"
"89425","08/01/24","The Sports Basement","Post Deadline","23.00","1041.30","FALL 2024","4500886162","Nathan Zelena","Net 60","UPS® Ground","","Approved","01/25/24","0.00","0.00","115.70"
"89426","08/01/24","The Sports Basement","Post Deadline","17.00","778.95","FALL 2024","4500886163","Nathan Zelena","Net 60","UPS® Ground","","Approved","01/25/24","0.00","0.00","86.55"
"89427","08/01/24","The Sports Basement","Post Deadline","12.00","547.20","FALL 2024","4500886164","Nathan Zelena","Net 60","UPS® Ground","","Approved","01/25/24","0.00","0.00","60.80"
"89428","08/01/24","The Sports Basement","Post Deadline","25.00","1136.25","FALL 2024","4500886165","Nathan Zelena","Net 60","UPS® Ground","","Approved","01/25/24","0.00","0.00","126.25"
"89429","08/01/24","The Sports Basement","Post Deadline","19.00","862.65","FALL 2024","4500886166","Nathan Zelena","Net 60","UPS® Ground","","Approved","01/25/24","0.00","0.00","95.85"
"89431","08/01/24","The Sports Basement","Post Deadline","28.00","1273.05","FALL 2024","4500886167","Nathan Zelena","Net 60","UPS® Ground","","Approved","01/25/24","0.00","0.00","141.45"
"89432","08/01/24","The Sports Basement","Post Deadline","13.00","589.05","FALL 2024","4500886168","Nathan Zelena","Net 60","UPS® Ground","","Approved","01/25/24","0.00","0.00","65.45"
"89433","10/15/24","The Sports Basement","Post Deadline","13.00","589.05","FALL 2024","4500886169","Nathan Zelena","Net 60","UPS® Ground","","Approved","01/25/24","0.00","0.00","65.45"
"89636","11/01/24","Quiet Storm Surf Shop (Key West - FL)","Post Deadline","58.00","1127.00","FALL 2024","KW-JETTY-DEC24","The Bunker","Net 30","UPS® Ground","","Approved","01/29/24","0.00","0.00","0.00"
"89637","12/01/24","Quiet Storm Surf Shop (Key West - FL)","Post Deadline","53.00","992.50","FALL 2024","KW-JETTY-JAN24","The Bunker","Net 30","UPS® Ground","","Approved","01/29/24","0.00","0.00","0.00"
"89715","10/01/24","Current Surf. Boardwalk Cottages","Post Deadline","36.00","1042.00","FALL 2024","F24 M","In-House","Credit Card","UPS® Ground","","Approved","01/31/24","0.00","0.00","0.00"
"89717","10/01/24","Current Surf. Boardwalk Cottages","Post Deadline","26.00","1159.00","FALL 2024","F24 W","In-House","Credit Card","UPS® Ground","","Approved","01/31/24","0.00","0.00","0.00"
"91243","10/01/24","Kanibal Co.","Post Deadline","26.00","1111.50","FALL 2024","FA24","In-House","Credit Card HOLD","UPS® Ground","","Approved","02/12/24","0.00","0.00","0.00"
"92360","08/01/24","Snowflake Ski Shop/245 Board Co.","Post Deadline","12.00","421.00","FALL 2024","EMPLOYEE","Sandbox Metro","Net 60","UPS® Ground","","Approved","02/28/24","0.00","0.00","0.00"
"94372","08/01/24","Green Lake GEAR LLC DBA GEAR","Post Deadline","7.00","398.00","FALL 2024","JettyF24XXLADD","Briones Group","Net 30","UPS® Ground","","Approved","04/08/24","0.00","0.00","0.00"
"96112","08/01/24","Maximum Outfitters","Post Deadline","154.00","6231.50","FALL 2024","kimmallbooking1f24","Platform Distribution","Credit Card","UPS® Ground","","Approved","05/15/24","0.00","0.00","0.00"
"96113","09/16/24","Maximum Outfitters","Post Deadline","117.00","9422.64","FALL 2024","kimmallbooking2f24","Dennis Regan","Credit Card","UPS® Ground","","Approved","05/15/24","0.00","0.00","0.00"
"97201","10/01/24","Rubys","Post Deadline","94.00","3189.50","FALL 2024","Jetty Fall 24 - 1","Nathan Zelena","Credit Card","UPS® Ground","","Approved","05/30/24","0.00","0.00","0.00"
"97203","09/01/24","Rubys","Post Deadline","166.00","2980.50","FALL 2024","Jetty Fall 24 - 3","Nathan Zelena","Credit Card","UPS® Ground","","Approved","05/30/24","0.00","0.00","0.00"
"99418","07/01/24","HERITAGE SURF SHOP (SEA ISLE)","Post Deadline","54.00","1109.70","FALL 2024","SIC W A/O 7/1","In-House","Net 30","Pickup/Delivery","","Approved","06/26/24","0.00","0.00","0.00"
